Date, 20CRV2c 2m Air Temperature (Kelvins) 67N-90N;0E-360E
1900,   -1.563
1901,   -1.918
1902,   -2.699
1903,   -1.638
1904,   -2.595
1905,   -1.307
1906,   -1.306
1907,   -1.040
1908,   -1.336
1909,   -1.353
1910,   -1.599
1911,   -2.236
1912,   -1.806
1913,   -1.260
1914,   -1.163
1915,   -1.288
1916,   -1.823
1917,   -1.666
1918,   -2.013
1919,   -0.940
1920,   -1.524
1921,   -1.698
1922,   -1.596
1923,   -1.688
1924,   -1.650
1925,   -1.712
1926,   -2.176
1927,   -1.479
1928,   -1.341
1929,   -1.917
1930,   -1.158
1931,   -1.099
1932,   -0.747
1933,   -0.369
1934,   -0.064
1935,   -0.586
1936,   -0.843
1937,   -0.712
1938,   -0.132
1939,   -1.160
1940,   -1.399
1941,   -1.915
1942,   -0.985
1943,   -0.571
1944,   -0.538
1945,   -1.135
1946,   -1.698
1947,   -0.822
1948,   -2.348
1949,   -2.067
1950,   -1.516
1951,   -1.652
1952,   -1.112
1953,   -0.445
1954,   -0.689
1955,   -0.899
1956,   -0.711
1957,   -0.898
1958,   -1.022
1959,   -0.235
1960,   -0.537
1961,   -1.036
1962,   -0.909
1963,   -1.125
1964,   -1.305
1965,   -0.811
1966,   -1.294
1967,   -0.412
1968,   -0.600
1969,   -0.452
1970,   -0.068
1971,   -0.435
1972,   -0.417
1973,   -0.152
1974,   -0.258
1975,   -0.409
1976,   -0.734
1977,   -0.482
1978,   -0.890
1979,   -0.760
1980,    0.045
1981,    0.037
1982,   -0.570
1983,   -0.294
1984,    0.015
1985,    0.010
1986,   -0.242
1987,   -1.135
1988,   -0.792
1989,   -0.716
1990,   -0.222
1991,   -0.587
1992,   -0.902
1993,   -0.408
1994,   -0.479
1995,    0.485
1996,    0.017
1997,   -0.352
1998,   -0.399
1999,   -0.181
2000,    0.125
2001,   -0.185
2002,    0.393
2003,    0.416
2004,   -0.095
2005,    1.008
2006,    0.977
2007,    0.936
2008,    0.716
2009,    0.891
2010,    1.530
2011,    1.304
2012,    1.445
2013,    0.377
2014,    1.058
2015,-9999.000
2016,-9999.000
