Date, 20CRv3 2m Air Temperature (K) 67N-90N;0E-360E
1900,   -0.769
1901,   -1.176
1902,   -2.077
1903,   -1.552
1904,   -2.132
1905,   -1.211
1906,   -0.794
1907,   -1.173
1908,   -1.139
1909,   -1.090
1910,   -1.545
1911,   -1.634
1912,   -1.461
1913,   -0.899
1914,   -1.146
1915,   -1.160
1916,   -1.024
1917,   -1.041
1918,   -1.256
1919,   -0.453
1920,   -0.655
1921,   -0.765
1922,   -0.987
1923,   -1.188
1924,   -0.747
1925,   -1.232
1926,   -1.098
1927,   -0.962
1928,   -0.520
1929,   -1.007
1930,   -0.427
1931,   -0.594
1932,   -0.706
1933,   -0.544
1934,   -0.328
1935,   -0.918
1936,   -0.668
1937,   -0.484
1938,   -0.176
1939,   -1.053
1940,   -0.910
1941,   -1.513
1942,   -0.849
1943,   -0.569
1944,   -0.254
1945,   -0.333
1946,   -0.994
1947,   -0.231
1948,   -1.731
1949,   -1.267
1950,   -1.302
1951,   -1.502
1952,   -0.948
1953,   -0.490
1954,   -0.142
1955,   -1.496
1956,   -0.971
1957,   -1.142
1958,   -1.352
1959,   -0.456
1960,   -0.709
1961,   -1.200
1962,   -1.074
1963,   -1.466
1964,   -1.430
1965,   -1.184
1966,   -1.711
1967,   -0.710
1968,   -1.165
1969,   -0.666
1970,   -0.779
1971,   -0.820
1972,   -0.512
1973,   -0.420
1974,   -0.745
1975,   -0.483
1976,   -0.599
1977,   -0.579
1978,   -0.881
1979,   -1.270
1980,   -0.473
1981,   -0.131
1982,   -1.261
1983,   -0.838
1984,   -0.364
1985,   -0.438
1986,   -0.685
1987,   -1.384
1988,   -0.730
1989,   -0.760
1990,   -0.060
1991,   -0.172
1992,   -0.683
1993,   -0.212
1994,   -0.337
1995,    0.832
1996,    0.286
1997,   -0.376
1998,   -0.418
1999,   -0.185
2000,   -0.205
2001,    0.208
2002,    0.292
2003,    0.236
2004,   -0.254
2005,    1.360
2006,    1.342
2007,    1.563
2008,    0.987
2009,    0.772
2010,    1.616
2011,    1.674
2012,    1.951
2013,    1.141
2014,    1.735
2015,    1.426
2016,-9999.000
2017,-9999.000
2018,-9999.000
