Date, Berkeley Earth 2m Air Temperature (degree C) 67N-90N;0E-360E
1900,   -1.429
1901,   -1.139
1902,   -2.578
1903,   -1.168
1904,   -0.527
1905,   -1.502
1906,   -0.739
1907,   -0.518
1908,   -1.357
1909,   -1.301
1910,   -1.420
1911,   -1.041
1912,   -2.169
1913,   -1.312
1914,   -0.887
1915,   -1.613
1916,   -1.768
1917,   -1.580
1918,   -1.474
1919,   -1.116
1920,   -0.374
1921,   -0.583
1922,   -0.585
1923,   -0.710
1924,   -0.317
1925,   -1.067
1926,   -1.002
1927,   -0.798
1928,   -0.761
1929,   -1.259
1930,   -0.460
1931,   -0.184
1932,   -0.476
1933,   -0.741
1934,    0.386
1935,   -0.369
1936,   -0.328
1937,    0.792
1938,    1.244
1939,   -0.391
1940,   -0.180
1941,   -1.297
1942,   -0.283
1943,    0.840
1944,    0.804
1945,    0.215
1946,   -0.985
1947,    0.404
1948,   -0.662
1949,   -0.394
1950,   -0.642
1951,   -0.611
1952,   -0.587
1953,    0.561
1954,    0.581
1955,   -0.883
1956,    0.035
1957,   -1.039
1958,   -1.729
1959,    0.296
1960,   -0.642
1961,   -0.516
1962,   -0.889
1963,   -1.997
1964,   -1.370
1965,   -1.261
1966,   -1.887
1967,   -0.172
1968,   -1.390
1969,   -1.166
1970,   -0.965
1971,   -0.377
1972,   -0.481
1973,   -0.740
1974,   -0.542
1975,   -0.211
1976,   -0.679
1977,   -1.100
1978,   -1.439
1979,   -2.348
1980,   -1.037
1981,   -0.207
1982,   -1.329
1983,   -0.181
1984,    0.262
1985,   -0.244
1986,   -0.877
1987,   -1.674
1988,   -0.686
1989,   -0.537
1990,    0.350
1991,    0.144
1992,   -1.077
1993,   -0.342
1994,   -0.605
1995,    0.903
1996,   -0.242
1997,   -0.310
1998,   -1.322
1999,   -0.487
2000,    0.345
2001,    0.303
2002,    0.069
2003,   -0.018
2004,   -0.294
2005,    1.556
2006,    1.062
2007,    2.090
2008,    1.268
2009,    0.988
2010,    1.093
2011,    2.352
2012,    2.529
2013,    1.002
2014,    1.342
2015,    1.805
2016,    3.145
2017,    2.271
