Date, Berkeley Earth TAVG: Air Surface Temperature Anomaly -90S-90N;0E-360E
1900,   -0.615
1901,   -0.695
1902,   -0.940
1903,   -0.885
1904,   -0.930
1905,   -0.938
1906,   -0.723
1907,   -0.835
1908,   -0.913
1909,   -0.812
1910,   -0.814
1911,   -0.884
1912,   -0.862
1913,   -0.800
1914,   -0.515
1915,   -0.591
1916,   -0.746
1917,   -0.824
1918,   -0.779
1919,   -0.715
1920,   -0.608
1921,   -0.512
1922,   -0.575
1923,   -0.652
1924,   -0.572
1925,   -0.630
1926,   -0.558
1927,   -0.601
1928,   -0.587
1929,   -0.851
1930,   -0.602
1931,   -0.563
1932,   -0.548
1933,   -0.696
1934,   -0.531
1935,   -0.569
1936,   -0.513
1937,   -0.401
1938,   -0.272
1939,   -0.395
1940,   -0.445
1941,   -0.438
1942,   -0.363
1943,   -0.299
1944,   -0.235
1945,   -0.391
1946,   -0.428
1947,   -0.421
1948,   -0.430
1949,   -0.472
1950,   -0.493
1951,   -0.358
1952,   -0.412
1953,   -0.287
1954,   -0.439
1955,   -0.447
1956,   -0.566
1957,   -0.418
1958,   -0.419
1959,   -0.322
1960,   -0.479
1961,   -0.242
1962,   -0.329
1963,   -0.388
1964,   -0.587
1965,   -0.637
1966,   -0.461
1967,   -0.346
1968,   -0.502
1969,   -0.429
1970,   -0.329
1971,   -0.361
1972,   -0.363
1973,   -0.179
1974,   -0.425
1975,   -0.303
1976,   -0.591
1977,   -0.313
1978,   -0.366
1979,   -0.313
1980,   -0.212
1981,   -0.144
1982,   -0.389
1983,   -0.131
1984,   -0.321
1985,   -0.327
1986,   -0.256
1987,   -0.251
1988,    0.002
1989,   -0.157
1990,    0.065
1991,   -0.001
1992,   -0.284
1993,   -0.278
1994,   -0.156
1995,    0.064
1996,   -0.065
1997,   -0.034
1998,    0.134
1999,    0.055
2000,    0.048
2001,    0.157
2002,    0.253
2003,    0.195
2004,    0.122
2005,    0.301
2006,    0.139
2007,    0.418
2008,    0.227
2009,    0.295
2010,    0.319
2011,    0.316
2012,    0.237
2013,    0.358
2014,    0.346
2015,    0.476
2016,    0.614
2017,    0.499
