Date, Berkeley Earth TAVG: Air Surface Temperature Anomaly 67N-90N;0E-360E
1900,   -1.359
1901,   -1.081
1902,   -2.490
1903,   -1.135
1904,   -0.564
1905,   -1.364
1906,   -0.721
1907,   -0.502
1908,   -1.336
1909,   -1.351
1910,   -1.420
1911,   -0.974
1912,   -2.189
1913,   -1.273
1914,   -0.895
1915,   -1.552
1916,   -1.752
1917,   -1.593
1918,   -1.462
1919,   -1.087
1920,   -0.324
1921,   -0.587
1922,   -0.584
1923,   -0.706
1924,   -0.300
1925,   -1.063
1926,   -0.885
1927,   -0.699
1928,   -0.707
1929,   -1.333
1930,   -0.609
1931,   -0.253
1932,   -0.438
1933,   -0.820
1934,    0.320
1935,   -0.437
1936,   -0.375
1937,    0.713
1938,    1.202
1939,   -0.459
1940,   -0.239
1941,   -1.340
1942,   -0.321
1943,    0.792
1944,    0.758
1945,    0.174
1946,   -0.993
1947,    0.396
1948,   -0.699
1949,   -0.437
1950,   -0.665
1951,   -0.664
1952,   -0.584
1953,    0.529
1954,    0.570
1955,   -0.886
1956,    0.053
1957,   -1.025
1958,   -1.718
1959,    0.281
1960,   -0.640
1961,   -0.490
1962,   -0.869
1963,   -2.005
1964,   -1.362
1965,   -1.238
1966,   -1.879
1967,   -0.178
1968,   -1.403
1969,   -1.168
1970,   -0.949
1971,   -0.364
1972,   -0.454
1973,   -0.728
1974,   -0.526
1975,   -0.226
1976,   -0.652
1977,   -1.065
1978,   -1.413
1979,   -2.320
1980,   -1.004
1981,   -0.198
1982,   -1.307
1983,   -0.167
1984,    0.272
1985,   -0.236
1986,   -0.878
1987,   -1.684
1988,   -0.727
1989,   -0.541
1990,    0.323
1991,    0.122
1992,   -1.084
1993,   -0.346
1994,   -0.594
1995,    0.933
1996,   -0.212
1997,   -0.297
1998,   -1.322
1999,   -0.486
2000,    0.364
2001,    0.308
2002,    0.077
2003,   -0.017
2004,   -0.301
2005,    1.569
2006,    1.038
2007,    2.081
2008,    1.226
2009,    0.981
2010,    1.103
2011,    2.354
2012,    2.498
2013,    0.935
2014,    1.244
2015,    1.715
2016,    3.073
2017,    2.169
2018,    2.160
