Date, Berkeley Earth 2m Air Temperature (degree C) 67N-90N;0E-360E
1900,   -1.065
1901,   -1.141
1902,   -1.700
1903,   -0.968
1904,   -0.825
1905,   -1.041
1906,   -1.014
1907,   -1.146
1908,   -1.117
1909,   -1.510
1910,   -1.609
1911,   -0.872
1912,   -1.397
1913,   -1.355
1914,   -1.320
1915,   -1.208
1916,   -1.183
1917,   -1.840
1918,   -1.944
1919,   -1.208
1920,   -0.699
1921,   -0.771
1922,   -0.955
1923,   -0.678
1924,   -0.662
1925,   -1.005
1926,   -0.677
1927,   -0.822
1928,   -0.270
1929,   -0.825
1930,   -0.296
1931,   -0.444
1932,   -0.428
1933,   -0.786
1934,   -0.246
1935,   -0.727
1936,   -0.733
1937,    0.325
1938,    0.642
1939,   -0.359
1940,    0.279
1941,   -1.011
1942,   -0.305
1943,    0.221
1944,    0.189
1945,   -0.194
1946,   -0.723
1947,    0.557
1948,   -1.091
1949,   -0.685
1950,   -0.605
1951,   -0.778
1952,   -0.395
1953,    0.025
1954,    0.133
1955,   -0.941
1956,   -0.615
1957,   -0.812
1958,   -0.980
1959,   -0.294
1960,   -0.324
1961,   -0.958
1962,   -0.371
1963,   -1.267
1964,   -1.606
1965,   -0.962
1966,   -1.533
1967,   -0.549
1968,   -1.208
1969,   -0.879
1970,   -1.111
1971,   -0.808
1972,   -0.964
1973,   -0.777
1974,   -1.023
1975,   -0.955
1976,   -0.794
1977,   -0.780
1978,   -1.089
1979,   -1.600
1980,   -0.703
1981,    0.092
1982,   -1.286
1983,   -0.838
1984,   -0.489
1985,   -0.337
1986,   -0.996
1987,   -1.343
1988,   -0.469
1989,   -0.660
1990,   -0.150
1991,   -0.167
1992,   -1.158
1993,   -0.344
1994,   -0.591
1995,    0.531
1996,   -0.031
1997,   -0.271
1998,    0.127
1999,   -0.402
2000,    0.218
2001,    0.251
2002,    0.441
2003,    0.400
2004,   -0.333
2005,    1.265
2006,    1.298
2007,    1.582
2008,    0.945
2009,    0.966
2010,    1.749
2011,    1.781
2012,    1.852
2013,    0.662
2014,    1.248
2015,    1.204
2016,    2.795
2017,    1.821
2018,    1.591
2019,    1.848
