Date, Berkeley Earth 2m Air Temperature (degree C) 67N-90N;0E-360E
1900,   -0.920
1901,   -0.906
1902,   -2.846
1903,   -1.270
1904,   -0.554
1905,   -1.898
1906,    0.249
1907,   -0.755
1908,   -1.873
1909,   -0.798
1910,   -1.934
1911,   -0.733
1912,   -1.565
1913,   -0.809
1914,    0.128
1915,   -2.864
1916,   -2.642
1917,   -1.883
1918,   -1.269
1919,   -0.920
1920,   -1.039
1921,    0.400
1922,   -0.304
1923,    0.248
1924,    1.363
1925,   -0.595
1926,   -0.404
1927,    0.123
1928,   -0.270
1929,   -0.227
1930,    0.228
1931,    1.606
1932,   -1.321
1933,   -1.083
1934,    0.629
1935,    0.648
1936,    0.985
1937,    1.753
1938,    2.268
1939,    0.912
1940,   -0.536
1941,   -0.304
1942,    0.783
1943,    0.662
1944,    2.498
1945,   -0.195
1946,   -0.535
1947,    1.583
1948,   -0.159
1949,    0.359
1950,   -0.552
1951,    0.322
1952,   -0.718
1953,    1.755
1954,    2.271
1955,   -1.967
1956,    0.862
1957,   -2.687
1958,   -2.469
1959,    1.127
1960,   -0.430
1961,    0.000
1962,   -1.313
1963,   -1.895
1964,   -0.941
1965,   -1.334
1966,    0.242
1967,    1.607
1968,   -4.087
1969,    0.347
1970,   -1.157
1971,   -0.031
1972,   -1.025
1973,   -2.349
1974,   -1.250
1975,   -0.116
1976,   -2.212
1977,   -1.514
1978,   -1.088
1979,   -1.480
1980,   -2.117
1981,    0.415
1982,   -1.759
1983,   -0.599
1984,    0.691
1985,    0.610
1986,   -0.494
1987,   -2.586
1988,   -1.344
1989,   -1.363
1990,   -2.048
1991,    0.435
1992,   -2.804
1993,   -1.367
1994,   -0.465
1995,    0.129
1996,   -0.063
1997,   -0.917
1998,   -1.984
1999,    0.504
2000,    0.046
2001,    1.560
2002,    0.074
2003,   -0.177
2004,   -0.037
2005,    2.555
2006,    1.864
2007,    3.160
2008,    2.186
2009,    2.304
2010,    1.474
2011,    3.113
2012,    3.713
2013,    2.145
2014,    1.007
2015,    2.982
2016,    4.376
2017,    3.292
