Date, ERA-20C Monthly Mean AIR 67N-90N;0E-360E
1900,    0.127
1901,   -0.077
1902,   -1.078
1903,   -0.865
1904,   -1.389
1905,   -0.773
1906,   -0.228
1907,    0.160
1908,   -0.885
1909,   -0.726
1910,   -0.967
1911,   -0.941
1912,   -0.908
1913,   -0.586
1914,   -0.726
1915,   -0.387
1916,   -0.279
1917,   -0.960
1918,   -0.705
1919,   -0.648
1920,   -0.094
1921,   -0.423
1922,   -0.044
1923,   -0.392
1924,   -0.108
1925,   -0.589
1926,   -0.534
1927,   -0.519
1928,   -0.162
1929,   -0.821
1930,   -0.130
1931,   -0.135
1932,   -0.142
1933,   -0.183
1934,    0.135
1935,   -0.445
1936,   -0.381
1937,   -0.040
1938,    0.227
1939,   -0.798
1940,    0.021
1941,   -0.758
1942,   -0.202
1943,   -0.569
1944,   -0.087
1945,   -0.058
1946,   -0.705
1947,    0.089
1948,   -0.851
1949,   -0.791
1950,   -0.738
1951,   -1.300
1952,   -1.101
1953,   -0.728
1954,   -0.308
1955,   -1.097
1956,   -0.434
1957,   -1.056
1958,   -1.366
1959,   -0.617
1960,   -0.583
1961,   -1.605
1962,   -1.121
1963,   -1.414
1964,   -1.547
1965,   -0.751
1966,   -1.470
1967,   -0.860
1968,   -1.562
1969,   -0.928
1970,   -0.717
1971,   -0.686
1972,   -0.623
1973,   -0.699
1974,   -1.330
1975,   -1.009
1976,   -1.014
1977,   -1.317
1978,   -1.582
1979,   -1.889
1980,   -0.763
1981,   -0.464
1982,   -1.461
1983,   -1.260
1984,   -0.850
1985,   -0.491
1986,   -1.173
1987,   -1.768
1988,   -0.868
1989,   -0.878
1990,    0.190
1991,   -0.144
1992,   -0.738
1993,   -0.233
1994,   -0.473
1995,    0.968
1996,    0.324
1997,   -0.222
1998,   -0.215
1999,    0.010
2000,    0.350
2001,    0.139
2002,    0.411
2003,    0.292
2004,   -0.234
2005,    1.925
2006,    1.688
2007,    1.614
2008,    1.052
2009,    0.997
2010,    1.513
2011,-9999.000
2012,-9999.000
2013,-9999.000
2014,-9999.000
2015,-9999.000
2016,-9999.000
2017,-9999.000
