Date, ERA-Interim 2m Air Temperature (degK) 67N-90N;0E-360E
1900,-9999.000
1901,-9999.000
1902,-9999.000
1903,-9999.000
1904,-9999.000
1905,-9999.000
1906,-9999.000
1907,-9999.000
1908,-9999.000
1909,-9999.000
1910,-9999.000
1911,-9999.000
1912,-9999.000
1913,-9999.000
1914,-9999.000
1915,-9999.000
1916,-9999.000
1917,-9999.000
1918,-9999.000
1919,-9999.000
1920,-9999.000
1921,-9999.000
1922,-9999.000
1923,-9999.000
1924,-9999.000
1925,-9999.000
1926,-9999.000
1927,-9999.000
1928,-9999.000
1929,-9999.000
1930,-9999.000
1931,-9999.000
1932,-9999.000
1933,-9999.000
1934,-9999.000
1935,-9999.000
1936,-9999.000
1937,-9999.000
1938,-9999.000
1939,-9999.000
1940,-9999.000
1941,-9999.000
1942,-9999.000
1943,-9999.000
1944,-9999.000
1945,-9999.000
1946,-9999.000
1947,-9999.000
1948,-9999.000
1949,-9999.000
1950,-9999.000
1951,-9999.000
1952,-9999.000
1953,-9999.000
1954,-9999.000
1955,-9999.000
1956,-9999.000
1957,-9999.000
1958,-9999.000
1959,-9999.000
1960,-9999.000
1961,-9999.000
1962,-9999.000
1963,-9999.000
1964,-9999.000
1965,-9999.000
1966,-9999.000
1967,-9999.000
1968,-9999.000
1969,-9999.000
1970,-9999.000
1971,-9999.000
1972,-9999.000
1973,-9999.000
1974,-9999.000
1975,-9999.000
1976,-9999.000
1977,-9999.000
1978,-9999.000
1979,   -1.377
1980,   -0.553
1981,    0.137
1982,   -1.096
1983,   -0.758
1984,   -0.275
1985,   -0.437
1986,   -0.839
1987,   -1.468
1988,   -0.451
1989,   -0.623
1990,   -0.150
1991,   -0.275
1992,   -1.044
1993,   -0.433
1994,   -0.657
1995,    0.643
1996,    0.088
1997,   -0.375
1998,   -0.240
1999,   -0.471
2000,    0.030
2001,    0.040
2002,    0.426
2003,    0.735
2004,   -0.112
2005,    1.461
2006,    1.442
2007,    1.438
2008,    0.821
2009,    0.879
2010,    1.561
2011,    1.760
2012,    1.897
2013,    0.792
2014,    1.412
2015,    1.212
2016,    2.946
