Date, ERA-Interim air temperature 67N-90N;0E-360E
1900,-9999.000
1901,-9999.000
1902,-9999.000
1903,-9999.000
1904,-9999.000
1905,-9999.000
1906,-9999.000
1907,-9999.000
1908,-9999.000
1909,-9999.000
1910,-9999.000
1911,-9999.000
1912,-9999.000
1913,-9999.000
1914,-9999.000
1915,-9999.000
1916,-9999.000
1917,-9999.000
1918,-9999.000
1919,-9999.000
1920,-9999.000
1921,-9999.000
1922,-9999.000
1923,-9999.000
1924,-9999.000
1925,-9999.000
1926,-9999.000
1927,-9999.000
1928,-9999.000
1929,-9999.000
1930,-9999.000
1931,-9999.000
1932,-9999.000
1933,-9999.000
1934,-9999.000
1935,-9999.000
1936,-9999.000
1937,-9999.000
1938,-9999.000
1939,-9999.000
1940,-9999.000
1941,-9999.000
1942,-9999.000
1943,-9999.000
1944,-9999.000
1945,-9999.000
1946,-9999.000
1947,-9999.000
1948,-9999.000
1949,-9999.000
1950,-9999.000
1951,-9999.000
1952,-9999.000
1953,-9999.000
1954,-9999.000
1955,-9999.000
1956,-9999.000
1957,-9999.000
1958,-9999.000
1959,-9999.000
1960,-9999.000
1961,-9999.000
1962,-9999.000
1963,-9999.000
1964,-9999.000
1965,-9999.000
1966,-9999.000
1967,-9999.000
1968,-9999.000
1969,-9999.000
1970,-9999.000
1971,-9999.000
1972,-9999.000
1973,-9999.000
1974,-9999.000
1975,-9999.000
1976,-9999.000
1977,-9999.000
1978,-9999.000
1979,   -1.075
1980,   -1.387
1981,    0.626
1982,   -1.614
1983,   -0.663
1984,   -0.076
1985,    0.245
1986,   -0.924
1987,   -1.954
1988,   -1.276
1989,   -1.470
1990,   -2.486
1991,   -0.512
1992,   -1.753
1993,   -1.225
1994,   -1.152
1995,   -0.134
1996,    0.245
1997,   -0.491
1998,   -0.086
1999,   -0.243
2000,   -0.342
2001,    1.043
2002,    1.871
2003,    1.058
2004,   -0.065
2005,    2.070
2006,    1.809
2007,    2.118
2008,    1.575
2009,    1.840
2010,    1.966
2011,    2.100
2012,    2.360
2013,    1.391
2014,    1.278
2015,    1.499
2016,    4.037
2017,-9999.000
