Date, GISTEMP Monthly Average Temperature Anomalies 67N-90N;0E-360E
1900,   -1.538
1901,   -1.457
1902,   -2.518
1903,   -1.405
1904,   -1.201
1905,   -1.104
1906,   -1.335
1907,   -1.576
1908,   -1.330
1909,   -1.691
1910,   -1.618
1911,   -1.184
1912,   -1.557
1913,   -1.583
1914,   -1.548
1915,   -1.540
1916,   -1.174
1917,   -1.595
1918,   -2.144
1919,   -1.748
1920,   -0.891
1921,   -0.961
1922,   -1.287
1923,   -0.712
1924,   -0.631
1925,   -1.070
1926,   -0.465
1927,   -0.939
1928,   -0.279
1929,   -0.819
1930,   -0.410
1931,   -0.460
1932,   -0.645
1933,   -1.228
1934,   -0.231
1935,   -0.688
1936,   -0.715
1937,    0.207
1938,    0.285
1939,   -0.359
1940,    0.060
1941,   -1.057
1942,   -0.593
1943,    0.270
1944,    0.121
1945,   -0.420
1946,   -0.985
1947,    0.107
1948,   -0.786
1949,   -0.680
1950,   -0.777
1951,   -0.827
1952,   -0.627
1953,    0.045
1954,   -0.197
1955,   -1.223
1956,   -1.016
1957,   -0.788
1958,   -0.905
1959,   -0.363
1960,   -0.464
1961,   -0.971
1962,   -0.187
1963,   -0.888
1964,   -1.487
1965,   -0.978
1966,   -1.529
1967,   -0.396
1968,   -1.106
1969,   -0.758
1970,   -1.038
1971,   -0.945
1972,   -1.179
1973,   -0.669
1974,   -1.066
1975,   -0.706
1976,   -0.863
1977,   -0.656
1978,   -0.937
1979,   -1.445
1980,   -0.518
1981,    0.433
1982,   -1.157
1983,   -0.580
1984,   -0.465
1985,   -0.500
1986,   -0.872
1987,   -1.159
1988,   -0.103
1989,   -0.472
1990,   -0.188
1991,   -0.051
1992,   -1.019
1993,   -0.240
1994,   -0.453
1995,    0.506
1996,    0.006
1997,   -0.118
1998,    0.166
1999,   -0.365
2000,    0.282
2001,    0.203
2002,    0.520
2003,    0.637
2004,   -0.205
2005,    1.227
2006,    0.843
2007,    1.068
2008,    0.531
2009,    0.409
2010,    1.114
2011,    1.257
2012,    1.122
2013,    0.344
2014,    0.983
2015,    0.841
2016,    2.300
2017,    1.336
