Date, GISTEMP 2m Air Temperature (K) 67N-90N;0E-360E
1900,   -1.456
1901,   -1.307
1902,   -2.207
1903,   -1.112
1904,   -1.055
1905,   -0.977
1906,   -1.191
1907,   -1.371
1908,   -1.058
1909,   -1.573
1910,   -1.415
1911,   -1.085
1912,   -1.356
1913,   -1.375
1914,   -1.257
1915,   -1.469
1916,   -1.275
1917,   -1.741
1918,   -1.912
1919,   -1.514
1920,   -0.854
1921,   -0.869
1922,   -1.125
1923,   -0.606
1924,   -0.403
1925,   -0.927
1926,   -0.275
1927,   -0.784
1928,   -0.079
1929,   -0.609
1930,   -0.225
1931,   -0.192
1932,   -0.268
1933,   -0.878
1934,    0.092
1935,   -0.439
1936,   -0.391
1937,    0.490
1938,    0.781
1939,   -0.224
1940,    0.223
1941,   -0.812
1942,   -0.043
1943,    0.595
1944,    0.348
1945,   -0.159
1946,   -0.802
1947,    0.324
1948,   -0.748
1949,   -0.616
1950,   -0.559
1951,   -0.736
1952,   -0.482
1953,    0.229
1954,    0.085
1955,   -1.043
1956,   -0.724
1957,   -0.724
1958,   -0.968
1959,   -0.300
1960,   -0.451
1961,   -0.977
1962,   -0.412
1963,   -1.056
1964,   -1.484
1965,   -1.067
1966,   -1.591
1967,   -0.484
1968,   -1.207
1969,   -0.833
1970,   -1.054
1971,   -0.909
1972,   -1.105
1973,   -0.793
1974,   -0.957
1975,   -0.770
1976,   -0.870
1977,   -0.693
1978,   -1.043
1979,   -1.472
1980,   -0.592
1981,    0.200
1982,   -1.233
1983,   -0.691
1984,   -0.396
1985,   -0.418
1986,   -0.862
1987,   -1.224
1988,   -0.333
1989,   -0.547
1990,   -0.217
1991,   -0.076
1992,   -1.009
1993,   -0.300
1994,   -0.462
1995,    0.468
1996,   -0.008
1997,   -0.114
1998,    0.055
1999,   -0.412
2000,    0.148
2001,    0.240
2002,    0.441
2003,    0.656
2004,   -0.363
2005,    1.202
2006,    0.996
2007,    1.340
2008,    0.759
2009,    0.693
2010,    1.468
2011,    1.610
2012,    1.517
2013,    0.765
2014,    1.263
2015,    1.205
2016,    2.540
2017,    1.734
2018,    1.408
