Date, GISTEMP Monthly Average Temperature Anomalies 67N-90N;0E-360E
1900,   -2.193
1901,   -1.977
1902,   -3.237
1903,   -1.287
1904,   -1.268
1905,   -1.836
1906,   -1.070
1907,   -1.812
1908,   -1.982
1909,   -1.942
1910,   -1.942
1911,   -0.348
1912,   -2.011
1913,   -1.920
1914,   -0.676
1915,   -2.886
1916,   -2.124
1917,   -3.200
1918,   -2.363
1919,   -1.233
1920,   -2.019
1921,   -0.514
1922,   -0.894
1923,   -0.236
1924,   -0.074
1925,   -0.406
1926,   -0.666
1927,   -0.889
1928,    0.051
1929,   -0.598
1930,   -0.282
1931,    0.463
1932,   -1.583
1933,   -1.665
1934,    0.552
1935,   -0.618
1936,   -0.594
1937,    0.665
1938,    0.744
1939,    0.256
1940,   -0.680
1941,   -1.121
1942,   -0.458
1943,    0.786
1944,    1.035
1945,   -0.980
1946,   -0.845
1947,    0.847
1948,   -1.170
1949,   -0.384
1950,   -0.613
1951,   -0.604
1952,   -0.284
1953,   -0.084
1954,    0.217
1955,   -1.824
1956,   -1.237
1957,   -2.150
1958,   -1.744
1959,    0.015
1960,   -0.572
1961,   -0.950
1962,   -0.483
1963,   -0.785
1964,   -1.398
1965,   -1.253
1966,   -0.970
1967,    0.388
1968,   -2.390
1969,    0.145
1970,   -1.108
1971,   -1.339
1972,   -1.336
1973,   -0.884
1974,   -2.017
1975,   -1.141
1976,   -1.694
1977,   -1.383
1978,   -1.118
1979,   -1.004
1980,   -1.408
1981,    0.978
1982,   -1.869
1983,   -0.516
1984,   -0.566
1985,    0.017
1986,   -1.117
1987,   -1.474
1988,   -0.838
1989,   -1.361
1990,   -1.933
1991,   -0.332
1992,   -1.592
1993,   -0.988
1994,   -0.661
1995,   -0.228
1996,    0.024
1997,   -0.210
1998,    0.452
1999,   -0.187
2000,    0.331
2001,    0.846
2002,    1.762
2003,    0.808
2004,   -0.388
2005,    1.753
2006,    1.461
2007,    1.580
2008,    1.205
2009,    1.400
2010,    1.644
2011,    1.703
2012,    1.426
2013,    1.020
2014,    1.003
2015,    1.326
2016,    2.719
2017,    2.360
