Date, JRA-55 2m Air Temperature (degK) 67N-90N;0E-360E
1900,-9999.000
1901,-9999.000
1902,-9999.000
1903,-9999.000
1904,-9999.000
1905,-9999.000
1906,-9999.000
1907,-9999.000
1908,-9999.000
1909,-9999.000
1910,-9999.000
1911,-9999.000
1912,-9999.000
1913,-9999.000
1914,-9999.000
1915,-9999.000
1916,-9999.000
1917,-9999.000
1918,-9999.000
1919,-9999.000
1920,-9999.000
1921,-9999.000
1922,-9999.000
1923,-9999.000
1924,-9999.000
1925,-9999.000
1926,-9999.000
1927,-9999.000
1928,-9999.000
1929,-9999.000
1930,-9999.000
1931,-9999.000
1932,-9999.000
1933,-9999.000
1934,-9999.000
1935,-9999.000
1936,-9999.000
1937,-9999.000
1938,-9999.000
1939,-9999.000
1940,-9999.000
1941,-9999.000
1942,-9999.000
1943,-9999.000
1944,-9999.000
1945,-9999.000
1946,-9999.000
1947,-9999.000
1948,-9999.000
1949,-9999.000
1950,-9999.000
1951,-9999.000
1952,-9999.000
1953,-9999.000
1954,-9999.000
1955,-9999.000
1956,-9999.000
1957,-9999.000
1958,   -1.365
1959,   -0.794
1960,   -0.917
1961,   -1.680
1962,   -1.163
1963,   -1.789
1964,   -2.083
1965,   -1.422
1966,   -2.099
1967,   -1.201
1968,   -1.596
1969,   -1.156
1970,   -1.290
1971,   -1.186
1972,   -1.257
1973,   -1.317
1974,   -1.268
1975,   -1.413
1976,   -1.013
1977,   -1.260
1978,   -1.206
1979,   -1.294
1980,   -0.621
1981,   -0.080
1982,   -1.018
1983,   -0.755
1984,   -0.239
1985,   -0.357
1986,   -0.745
1987,   -1.164
1988,   -0.390
1989,   -0.511
1990,   -0.086
1991,   -0.245
1992,   -0.882
1993,   -0.464
1994,   -0.629
1995,    0.630
1996,    0.121
1997,   -0.140
1998,   -0.005
1999,   -0.260
2000,    0.109
2001,   -0.082
2002,    0.303
2003,    0.383
2004,   -0.100
2005,    1.247
2006,    1.153
2007,    1.381
2008,    0.642
2009,    0.769
2010,    1.414
2011,    1.496
2012,    1.783
2013,    0.788
2014,    1.443
2015,    1.096
2016,    2.752
