Date, JRA-55 2m Air Temperature (K) 67N-90N;0E-360E
1900,-9999.000
1901,-9999.000
1902,-9999.000
1903,-9999.000
1904,-9999.000
1905,-9999.000
1906,-9999.000
1907,-9999.000
1908,-9999.000
1909,-9999.000
1910,-9999.000
1911,-9999.000
1912,-9999.000
1913,-9999.000
1914,-9999.000
1915,-9999.000
1916,-9999.000
1917,-9999.000
1918,-9999.000
1919,-9999.000
1920,-9999.000
1921,-9999.000
1922,-9999.000
1923,-9999.000
1924,-9999.000
1925,-9999.000
1926,-9999.000
1927,-9999.000
1928,-9999.000
1929,-9999.000
1930,-9999.000
1931,-9999.000
1932,-9999.000
1933,-9999.000
1934,-9999.000
1935,-9999.000
1936,-9999.000
1937,-9999.000
1938,-9999.000
1939,-9999.000
1940,-9999.000
1941,-9999.000
1942,-9999.000
1943,-9999.000
1944,-9999.000
1945,-9999.000
1946,-9999.000
1947,-9999.000
1948,-9999.000
1949,-9999.000
1950,-9999.000
1951,-9999.000
1952,-9999.000
1953,-9999.000
1954,-9999.000
1955,-9999.000
1956,-9999.000
1957,-9999.000
1958,   -2.473
1959,   -1.091
1960,   -1.684
1961,   -2.384
1962,   -1.817
1963,   -2.141
1964,   -2.466
1965,   -2.026
1966,   -1.892
1967,   -1.385
1968,   -3.575
1969,   -0.642
1970,   -2.056
1971,   -2.676
1972,   -2.040
1973,   -2.254
1974,   -3.003
1975,   -2.708
1976,   -2.606
1977,   -2.329
1978,   -1.409
1979,   -1.207
1980,   -1.399
1981,    0.443
1982,   -1.275
1983,   -0.773
1984,   -0.118
1985,    0.286
1986,   -0.708
1987,   -1.267
1988,   -1.201
1989,   -1.102
1990,   -2.023
1991,   -0.757
1992,   -1.605
1993,   -1.136
1994,   -1.255
1995,   -0.106
1996,    0.429
1997,   -0.313
1998,    0.134
1999,   -0.425
2000,   -0.090
2001,    0.782
2002,    1.304
2003,    0.584
2004,   -0.186
2005,    1.804
2006,    1.564
2007,    2.200
2008,    1.005
2009,    2.067
2010,    1.738
2011,    1.956
2012,    2.663
2013,    1.506
2014,    1.712
2015,    1.659
2016,    3.914
2017,    3.056
