Date, MERRA-2 temperature at 2 m above the displacement height  67N-90N;0E-360E
1900,-9999.000
1901,-9999.000
1902,-9999.000
1903,-9999.000
1904,-9999.000
1905,-9999.000
1906,-9999.000
1907,-9999.000
1908,-9999.000
1909,-9999.000
1910,-9999.000
1911,-9999.000
1912,-9999.000
1913,-9999.000
1914,-9999.000
1915,-9999.000
1916,-9999.000
1917,-9999.000
1918,-9999.000
1919,-9999.000
1920,-9999.000
1921,-9999.000
1922,-9999.000
1923,-9999.000
1924,-9999.000
1925,-9999.000
1926,-9999.000
1927,-9999.000
1928,-9999.000
1929,-9999.000
1930,-9999.000
1931,-9999.000
1932,-9999.000
1933,-9999.000
1934,-9999.000
1935,-9999.000
1936,-9999.000
1937,-9999.000
1938,-9999.000
1939,-9999.000
1940,-9999.000
1941,-9999.000
1942,-9999.000
1943,-9999.000
1944,-9999.000
1945,-9999.000
1946,-9999.000
1947,-9999.000
1948,-9999.000
1949,-9999.000
1950,-9999.000
1951,-9999.000
1952,-9999.000
1953,-9999.000
1954,-9999.000
1955,-9999.000
1956,-9999.000
1957,-9999.000
1958,-9999.000
1959,-9999.000
1960,-9999.000
1961,-9999.000
1962,-9999.000
1963,-9999.000
1964,-9999.000
1965,-9999.000
1966,-9999.000
1967,-9999.000
1968,-9999.000
1969,-9999.000
1970,-9999.000
1971,-9999.000
1972,-9999.000
1973,-9999.000
1974,-9999.000
1975,-9999.000
1976,-9999.000
1977,-9999.000
1978,-9999.000
1979,-9999.000
1980,   -0.237
1981,    0.325
1982,   -0.814
1983,   -0.464
1984,   -0.106
1985,   -0.250
1986,   -0.605
1987,   -1.195
1988,   -0.530
1989,   -0.431
1990,    0.010
1991,    0.013
1992,   -0.710
1993,   -0.290
1994,   -0.404
1995,    0.673
1996,    0.119
1997,   -0.317
1998,   -0.070
1999,   -0.254
2000,    0.189
2001,    0.202
2002,    0.356
2003,    0.707
2004,   -0.237
2005,    1.114
2006,    0.681
2007,    0.973
2008,    0.310
2009,    0.233
2010,    0.770
2011,    0.872
2012,    1.161
2013,    0.005
2014,    0.657
2015,    0.551
2016,    2.131
2017,    1.308
2018,    1.181
