Date, NCEP/NCAR R1 2m Air Temperature (K) 67N-90N;0E-360E
1900,-9999.000
1901,-9999.000
1902,-9999.000
1903,-9999.000
1904,-9999.000
1905,-9999.000
1906,-9999.000
1907,-9999.000
1908,-9999.000
1909,-9999.000
1910,-9999.000
1911,-9999.000
1912,-9999.000
1913,-9999.000
1914,-9999.000
1915,-9999.000
1916,-9999.000
1917,-9999.000
1918,-9999.000
1919,-9999.000
1920,-9999.000
1921,-9999.000
1922,-9999.000
1923,-9999.000
1924,-9999.000
1925,-9999.000
1926,-9999.000
1927,-9999.000
1928,-9999.000
1929,-9999.000
1930,-9999.000
1931,-9999.000
1932,-9999.000
1933,-9999.000
1934,-9999.000
1935,-9999.000
1936,-9999.000
1937,-9999.000
1938,-9999.000
1939,-9999.000
1940,-9999.000
1941,-9999.000
1942,-9999.000
1943,-9999.000
1944,-9999.000
1945,-9999.000
1946,-9999.000
1947,-9999.000
1948,   -0.989
1949,   -0.445
1950,   -1.135
1951,   -1.436
1952,   -1.090
1953,   -0.710
1954,   -0.300
1955,   -1.442
1956,   -0.548
1957,   -0.757
1958,   -1.022
1959,   -0.513
1960,   -0.858
1961,   -1.469
1962,   -1.042
1963,   -1.722
1964,   -2.004
1965,   -1.284
1966,   -1.842
1967,   -1.047
1968,   -1.392
1969,   -1.163
1970,   -1.204
1971,   -1.037
1972,   -1.137
1973,   -0.928
1974,   -1.111
1975,   -1.118
1976,   -0.898
1977,   -0.991
1978,   -1.405
1979,   -1.375
1980,   -0.018
1981,    0.680
1982,   -1.359
1983,   -1.030
1984,   -0.589
1985,   -0.705
1986,   -1.143
1987,   -1.544
1988,   -0.728
1989,   -0.811
1990,   -0.337
1991,   -0.331
1992,   -1.046
1993,   -0.736
1994,   -0.861
1995,    0.254
1996,   -0.132
1997,   -0.188
1998,    0.300
1999,    0.032
2000,    0.542
2001,    0.500
2002,    0.616
2003,    0.964
2004,    0.213
2005,    1.449
2006,    1.348
2007,    1.344
2008,    0.737
2009,    0.996
2010,    1.565
2011,    1.376
2012,    1.592
2013,    0.777
2014,    1.418
2015,    1.265
2016,    3.071
2017,    2.107
2018,    1.821
2019,    1.915
